path,kind,bytes,loc
.agent/SCAN_SCREEN_ANALYSIS.md,.md,6320,221
.agent/comprehensive_implementation_guide.md,.md,10297,384
.agent/master_implementation_guide.md,.md,13848,452
.agent/scan-improvements-implementation.md,.md,4037,158
.agent/scan-screen-improvements.md,.md,2631,50
.agent/workflows/design-upgrade.md,.md,1623,42
.agent/workflows/fix-all-issues.md,.md,10654,385
.agent/workflows/run_app.md,.md,1525,68
.agent/workflows/scan-screen-improvements.md,.md,2991,89
.aider.conf.yml,.yml,1777,77
.autogpt.yml,.yml,2071,84
.autopilot.json,.json,460,23
.continue/config.json,.json,3933,143
.devcontainer/devcontainer.json,.json,1751,59
.devon.yml,.yml,2305,98
.env.production.example,.example,1948,87
.frontmatter/database/taxonomyDb.json,.json,3,1
.github/ISSUE_TEMPLATE/bug_report.md,.md,1046,47
.github/ISSUE_TEMPLATE/feature_request.md,.md,1293,57
.github/ISSUE_TEMPLATE/template-setup.md,.md,1653,58
.github/PR_TEMPLATE_004.md,.md,5408,110
.github/agents/copilot-instructions.md,.md,1931,36
.github/agents/speckit.analyze.agent.md,.md,7175,184
.github/agents/speckit.checklist.agent.md,.md,16809,294
.github/agents/speckit.clarify.agent.md,.md,11334,181
.github/agents/speckit.constitution.agent.md,.md,5246,82
.github/agents/speckit.implement.agent.md,.md,7501,135
.github/agents/speckit.plan.agent.md,.md,3120,89
.github/agents/speckit.specify.agent.md,.md,12728,258
.github/agents/speckit.tasks.agent.md,.md,6328,137
.github/agents/speckit.taskstoissues.agent.md,.md,1089,30
.github/appmod/appcat/assessment-config.yaml,.yaml,4257,69
.github/appmod/appcat/assessment-plan.md,.md,896,18
.github/appmod/appcat/result/settings.json,.json,2650,100
.github/copilot-instructions.md,.md,2978,53
.github/dependabot.yml,.yml,391,16
.github/markdown-link-check-config.json,.json,374,21
.github/prompts/add-api-endpoint.prompt.md,.md,5278,200
.github/prompts/code-review.prompt.md,.md,2279,101
.github/prompts/debug-issue.prompt.md,.md,2651,134
.github/prompts/generate-docs.prompt.md,.md,3221,147
.github/prompts/generate-tests.prompt.md,.md,2972,120
.github/prompts/refactor-code.prompt.md,.md,3734,164
.github/prompts/security-audit.prompt.md,.md,1704,64
.github/prompts/speckit.analyze.prompt.md,.md,31,3
.github/prompts/speckit.checklist.prompt.md,.md,33,3
.github/prompts/speckit.clarify.prompt.md,.md,31,3
.github/prompts/speckit.constitution.prompt.md,.md,36,3
.github/prompts/speckit.implement.prompt.md,.md,33,3
.github/prompts/speckit.plan.prompt.md,.md,28,3
.github/prompts/speckit.specify.prompt.md,.md,31,3
.github/prompts/speckit.tasks.prompt.md,.md,29,3
.github/prompts/speckit.taskstoissues.prompt.md,.md,37,3
.github/pull_request_template.md,.md,2194,86
.github/template.yml,.yml,1317,30
.github/workflows/ci-cd-debug.yml,.yml,137,11
.github/workflows/ci-cd.yml,.yml,15443,501
.github/workflows/ci.yml,.yml,4650,175
.github/workflows/code-quality.yml,.yml,4676,181
.github/workflows/deploy.yaml,.yaml,3221,111
.github/workflows/docker-publish.yml,.yml,2316,85
.github/workflows/frontend.yml,.yml,1076,47
.github/workflows/repo-mirror.yml,.yml,3527,101
.github/workflows/security-scan.yml,.yml,3798,133
.github/workflows/test.yml,.yml,5876,221
.husky/_/husky.sh,.sh,160,9
.interpreter.yml,.yml,2120,76
.markdownlint.json,.json,104,7
.pre-commit-config.yaml,.yaml,1425,52
.specify/memory/constitution.md,.md,1171,23
.specify/scripts/bash/check-prerequisites.sh,.sh,4967,166
.specify/scripts/bash/common.sh,.sh,4900,155
.specify/scripts/bash/create-new-feature.sh,.sh,10110,297
.specify/scripts/bash/setup-plan.sh,.sh,1619,60
.specify/scripts/bash/update-agent-context.sh,.sh,25224,798
.specify/templates/agent-file-template.md,.md,464,28
.specify/templates/checklist-template.md,.md,1307,40
.specify/templates/plan-template.md,.md,3657,104
.specify/templates/spec-template.md,.md,3950,115
.specify/templates/tasks-template.md,.md,9170,251
.swe-agent.yml,.yml,2185,93
.trunk/trunk.yaml,.yaml,438,17
.vscode/README.md,.md,445,17
.vscode/extensions.json,.json,461,20
.vscode/launch.json,.json,637,20
.vscode/mcp.json,.json,614,31
.vscode/settings.json,.json,800,31
.vscode/tasks.json,.json,820,35
CONTRIBUTING.md,.md,5441,247
GAP_ANALYSIS_TRACKER.md,.md,2238,61
GEMINI.md,.md,854,30
Makefile,Makefile,6828,205
README.md,.md,2902,87
SECURITY_REMEDIATION_STEPS.md,.md,169,6
agents/README.md,.md,4363,178
agents/__init__.py,.py,1101,32
agents/awesome_integrations.md,.md,2649,42
agents/requirements.txt,.txt,881,45
agents/stock_verify_crew.py,.py,19277,604
app.json,.json,83,5
awesome-copilot-resources.md,.md,1509,26
